# Real function names for this PAL build, from bordplate's NTSC project RC1
# (codeberg.org/bordplate/RC1, config/symbols.txt), mapped to PAL addresses.
# Only confident mappings are listed; see docs/DECOMP_PROGRESS.md.
#
# The build and tools keep using func_<ADDR> (the address IS the name there);
# these names are annotated in src/ as comments.
#
# <pal symbol>  <mangled name>  <demangled>  | <evidence>

func_0011DFC8  __main  __main  | libgcc2 L__main, matched byte for byte
func_0023C2C0  audioDecSend  audioDecSend  | text: NTSC/PAL function-size alignment
func_0023C2E8  sendToSPU__FP9_AudioDecPUcii  sendToSPU(_AudioDec *, unsigned char *, int, int)  | text: NTSC/PAL function-size alignment
func_0023C390  sendADPCM__FP9_AudioDec  sendADPCM(_AudioDec *)  | text: NTSC/PAL function-size alignment
func_0023C5E0  setImageTag  setImageTag  | text: NTSC/PAL function-size alignment
func_0023C7A8  vblankHandler  vblankHandler  | text: NTSC/PAL function-size alignment
func_0023C910  handler_endimage  handler_endimage  | text: NTSC/PAL function-size alignment
func_0023C960  startDisplay__Fi  startDisplay(int)  | text: NTSC/PAL function-size alignment
func_0023C9B0  endDisplay__Fv  endDisplay(void)  | text: NTSC/PAL function-size alignment
func_0023C9C0  videoCallback  videoCallback  | text: NTSC/PAL function-size alignment
func_0023CAF8  pcmCallback__FP7sceMpegP16sceMpegCbDataStrPv  pcmCallback(sceMpeg *, sceMpegCbDataStr *, void *)  | text: NTSC/PAL function-size alignment
func_0023CBE0  cpy2area__FPUciT0iT0iT0i  cpy2area(unsigned char *, int, unsigned char *, int, unsigned char *, int, unsigned char *, int)  | text: NTSC/PAL function-size alignment
func_0023CD30  readBufBeginPut__FP7ReadBufPPUc  readBufBeginPut(ReadBuf *, unsigned char **)  | text: NTSC/PAL function-size alignment
func_0023CD60  readBufEndPut__FP7ReadBufi  readBufEndPut(ReadBuf *, int)  | text: NTSC/PAL function-size alignment
func_0023CDA8  readBufBeginGet__FP7ReadBufPPUc  readBufBeginGet(ReadBuf *, unsigned char **)  | text: NTSC/PAL function-size alignment
func_0023CDF0  readBufEndGet__FP7ReadBufi  readBufEndGet(ReadBuf *, int)  | text: NTSC/PAL function-size alignment
func_0023CEC8  getFIFOindex__FP5ViBufPv  getFIFOindex(ViBuf *, void *)  | text: NTSC/PAL function-size alignment
func_0023CF10  setD3_CHCR__FUi  setD3_CHCR(unsigned int)  | text: NTSC/PAL function-size alignment
func_0023CF80  setD4_CHCR__FUi  setD4_CHCR(unsigned int)  | text: NTSC/PAL function-size alignment
func_0023CFF0  scTag2  scTag2  | text: NTSC/PAL function-size alignment
func_0023D018  viBufCreate  viBufCreate  | text: NTSC/PAL function-size alignment
func_0023D090  viBufReset__FP5ViBuf  viBufReset(ViBuf *)  | text: NTSC/PAL function-size alignment
func_0023D1F0  viBufBeginPut__FP5ViBufPPUcPiT1T2  viBufBeginPut(ViBuf *, unsigned char **, int *, unsigned char **, int *)  | text: NTSC/PAL function-size alignment
func_0023D2E8  viBufEndPut__FP5ViBufi  viBufEndPut(ViBuf *, int)  | text: NTSC/PAL function-size alignment
