segment,name,vram,size
core_text,func_00128DA0,0x00128DA0,0xC4
core_text,func_00128E68,0x00128E68,0x128
core_text,func_00128F90,0x00128F90,0x1F0
core_text,func_00129180,0x00129180,0x48
core_text,func_001291C8,0x001291C8,0x74
core_text,func_00129240,0x00129240,0xA0
core_text,func_001292E0,0x001292E0,0xC4
core_text,func_001293A8,0x001293A8,0xF4
core_text,func_001294A0,0x001294A0,0x90
core_text,func_00129530,0x00129530,0xCC
core_text,func_00129600,0x00129600,0x90
core_text,func_00129690,0x00129690,0x2B4
core_text,func_00129948,0x00129948,0xA0
core_text,func_001299E8,0x001299E8,0x290
core_text,func_00129C78,0x00129C78,0x28
core_text,func_00129CA0,0x00129CA0,0x18C
core_text,func_00129E30,0x00129E30,0x110
core_text,func_00129F40,0x00129F40,0x1B8
core_text,func_0012A0F8,0x0012A0F8,0x16C
core_text,func_0012A268,0x0012A268,0x84
core_text,func_0012A2EC,0x0012A2EC,0x4
core_text,func_0012A2F0,0x0012A2F0,0x128
core_text,func_0012A418,0x0012A418,0x140
core_text,func_0012A558,0x0012A558,0x1C0
core_text,func_0012A718,0x0012A718,0xCC
core_text,func_0012A7E8,0x0012A7E8,0x288
core_text,func_0012AA70,0x0012AA70,0x34
core_text,func_0012AAA8,0x0012AAA8,0x1C
core_text,func_0012AAC8,0x0012AAC8,0x98
core_text,func_0012AB60,0x0012AB60,0x4C
core_text,func_0012ABB0,0x0012ABB0,0x44
core_text,func_0012ABF8,0x0012ABF8,0x54
core_text,func_0012AC50,0x0012AC50,0x2C
core_text,func_0012AC7C,0x0012AC7C,0x4
core_text,func_0012AC80,0x0012AC80,0x88
core_text,func_0012AD08,0x0012AD08,0x300
core_text,func_0012B008,0x0012B008,0xF4
core_text,func_0012B100,0x0012B100,0x150
core_text,func_0012B250,0x0012B250,0x6C
core_text,func_0012B2C0,0x0012B2C0,0x5B0
core_text,func_0012B870,0x0012B870,0xA8
core_text,func_0012B918,0x0012B918,0x208
core_text,func_0012BB20,0x0012BB20,0x8
core_text,func_0012BB28,0x0012BB28,0x50
core_text,func_0012BB78,0x0012BB78,0x1C
core_text,func_0012BB98,0x0012BB98,0x10
core_text,func_0012BBA8,0x0012BBA8,0x50
core_text,func_0012BBF8,0x0012BBF8,0x54
core_text,func_0012BC50,0x0012BC50,0x24
core_text,func_0012BC78,0x0012BC78,0x50
core_text,func_0012BCC8,0x0012BCC8,0x24
core_text,func_0012BCF0,0x0012BCF0,0x34
core_text,func_0012BD28,0x0012BD28,0x14
core_text,func_0012BD40,0x0012BD40,0xC
core_text,func_0012BD50,0x0012BD50,0xC
core_text,func_0012BD60,0x0012BD60,0x6C
core_text,func_0012BDD0,0x0012BDD0,0x170
core_text,func_0012BF40,0x0012BF40,0x114
core_text,func_0012C058,0x0012C058,0x44
core_text,func_0012C0A0,0x0012C0A0,0x15C
core_text,func_0012C200,0x0012C200,0x68
core_text,func_0012C268,0x0012C268,0xC
core_text,func_0012C278,0x0012C278,0x7C
core_text,func_0012C2F8,0x0012C2F8,0x60
core_text,func_0012C358,0x0012C358,0xC8
core_text,func_0012C420,0x0012C420,0x10
core_text,func_0012C430,0x0012C430,0x34
core_text,func_0012C468,0x0012C468,0x54
core_text,func_0012C4C0,0x0012C4C0,0x20
core_text,func_0012C4E0,0x0012C4E0,0x124
core_text,func_0012C608,0x0012C608,0x2A8
core_text,func_0012C8B0,0x0012C8B0,0xE0
core_text,func_0012C990,0x0012C990,0xE0
core_text,func_0012CA70,0x0012CA70,0x130
core_text,func_0012CBA0,0x0012CBA0,0x8C
core_text,func_0012CC30,0x0012CC30,0xC
core_text,func_0012CC40,0x0012CC40,0xC
core_text,func_0012CC50,0x0012CC50,0xC
core_text,func_0012CC60,0x0012CC60,0xC
core_text,func_0012CC6C,0x0012CC6C,0x10
core_text,func_0012CC80,0x0012CC80,0xC
core_text,func_0012CC8C,0x0012CC8C,0x4
core_text,func_0012CC90,0x0012CC90,0x64
core_text,func_0012CCF8,0x0012CCF8,0x64
core_text,func_0012CD60,0x0012CD60,0xE4
core_text,func_0012CE48,0x0012CE48,0x150
core_text,func_0012CF98,0x0012CF98,0x68
core_text,func_0012D000,0x0012D000,0x64
core_text,func_0012D068,0x0012D068,0x238
